geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
Merton,E09000024,Total,25644,37557,12462,2377,717,10778,15083,18730,33873,2553,1069,701,1161,9455,11419,16484,65877,659,3091,5072,9721,6072,5062,12903,9150,7912,3741,3854,14830,7225,4182,10474,2142,4418,3849,12452,19877,53663,34682,8777,11880,7965,2105,1172,25644,37557,15556,47120,129451,23122,9455,44591,36426,2931,6072,105966,37560,2,11.856184,-7.521605
Redbridge,E09000026,Total,27697,44548,20684,4762,1414,12264,16001,20714,40806,5232,1564,1025,1702,11029,14355,23948,71627,1188,4843,6144,11262,10590,8174,19026,16199,13137,6548,6858,21666,11561,7363,18579,3689,7527,6721,18894,23814,64231,48962,12578,16817,11553,3225,1790,27697,44548,26860,77106,168479,33385,11029,48979,46038,4291,10590,127186,61768,2,12.122527,-7.5013766
Richmond upon Thames,E09000027,Total,19751,40079,16289,2926,790,10657,14139,15697,28346,4720,1513,961,1280,13870,8021,14207,61511,648,3632,6240,9947,4153,3752,13794,7383,6979,2802,2731,14038,6986,4121,9827,1966,3621,3498,9145,12546,49396,36408,10142,13023,8234,2503,1536,19751,40079,20005,44057,117637,25296,13870,40493,33066,3754,4153,99937,33689,2,12.026287,-7.278561
Sutton,E09000029,Total,18303,36110,18214,4118,1429,13437,18695,16339,23297,4180,916,702,1139,8738,10215,18502,60111,600,2635,3981,8603,5429,4134,15461,6454,6238,3904,2658,12750,6897,4198,11673,2470,5097,3920,10657,13185,44453,37247,10366,13785,9448,2637,1363,18303,36110,23761,47005,115908,27233,8738,48471,27477,2757,5429,98566,34715,2,11.999563,-7.3151374
Waltham Forest,E09000031,Total,40583,40732,12225,2582,739,12441,15249,28045,31352,3017,982,734,1443,9193,18565,21889,69385,1033,3371,6509,12777,11654,8397,15335,15209,11429,7166,6824,20839,10359,6104,14760,3056,6234,5951,20604,26508,65523,42962,9783,13413,8629,2267,1257,40583,40732,15546,67303,165380,25566,9193,55735,34369,3159,11654,123361,55963,2,11.987089,-7.670185
Bracknell Forest,E06000036,Total,6275,17818,16656,3794,1335,9218,10398,8615,11509,4938,1692,2428,1035,6875,5206,11066,40762,225,1249,2112,4581,2808,2334,8496,3007,3450,1770,1256,8027,4218,2527,7082,1608,3198,2425,6349,7721,26631,23439,5833,7520,4742,1247,638,6275,17818,21785,29085,69973,14147,6875,28231,16447,5155,2808,62329,17979,3,8.357233,-0.8897596
Brighton and Hove,E06000043,Total,46415,51727,19078,3294,1026,32300,31065,12447,10361,3367,5017,2366,12275,17356,13269,27492,75999,884,4191,7985,14181,7818,12303,19625,20567,7249,8813,3685,15015,8186,5105,13412,2627,5602,9810,28129,22998,65653,48426,12714,17460,12248,3758,2226,46415,51727,23398,59757,177920,35692,17356,75812,13728,19658,7818,143035,59939,2,10.270235,-6.9769287
Isle of Wight,E06000046,Total,13761,28314,14356,3468,1186,14437,6986,11072,10019,1064,584,535,1794,7280,5528,15728,30353,476,2111,3293,5673,4386,2198,20478,3661,3933,4504,2953,6412,3945,2597,7968,1754,3492,2944,6808,6690,23176,28531,10994,17112,10772,3257,1813,13761,28314,19010,29112,76199,32954,7280,32495,11083,2913,4386,59832,35529,1,6.442275,0.10100766
Medway,E06000035,Total,23231,45163,28790,6609,2416,18518,23639,16670,16464,7024,5182,13207,3130,9922,12933,27137,77912,543,2731,3692,9910,9469,6560,24738,9912,10105,7334,4115,17224,9732,6235,16765,3458,7463,8110,19041,17581,54321,51536,15454,20652,11946,2915,1492,23231,45163,37815,68987,157933,37005,9922,58827,23488,21519,9469,128485,56204,3,7.8658667,-1.0750991
Milton Keynes,E06000042,Total,18656,42633,29364,6009,1922,17859,31324,27041,8823,6106,2338,3210,8819,12488,9775,23644,84004,537,2598,3938,8658,8640,5698,18654,7143,8338,5810,3723,19908,10263,6205,15805,3211,6339,5170,14056,19596,59548,48040,13169,15467,8494,2371,1179,18656,42633,37295,66901,154409,27511,12488,76224,14929,14367,8640,129077,43668,3,8.3845415,-1.9645596
Portsmouth,E06000044,Total,28533,37396,15776,2948,820,23310,24425,14837,6030,4603,1506,1450,4092,7092,9274,20626,57743,376,2016,2483,6676,6536,9378,16385,16380,6297,5813,2996,13548,6970,4061,10927,2294,4628,9034,22761,16991,41524,35086,9820,13861,9210,2792,1549,28533,37396,19544,51462,126182,27412,7092,62572,10633,7048,6536,99298,47871,2,10.000945,-6.616954
Reading,E06000038,Total,17819,28235,13326,2612,877,17851,19296,8319,6930,5424,2183,3423,3054,6999,6373,13883,52054,238,1388,2283,5329,5329,5825,10001,9297,5334,3227,2620,11937,5463,3093,7968,1655,3279,4875,14574,15113,38506,25030,6373,9058,6132,1704,938,17819,28235,16815,38270,99596,17832,6999,45466,12354,8660,5329,81000,30479,2,10.276152,-6.8170304
Slough,E06000039,Total,11885,22404,12478,2974,1025,11851,13519,11082,9741,4514,2980,922,1037,4977,6677,11886,43610,388,1398,2494,4646,5440,3957,7517,5813,6555,3388,3366,12777,6276,3718,9034,1755,3664,3155,9574,13351,35902,23015,5160,6637,4505,1103,579,11885,22404,16477,40379,87002,12824,4977,36452,14255,4939,5440,68379,26639,2,12.02695,-7.0737457
Southampton,E06000045,Total,28996,43938,20099,3969,1252,23327,31310,19111,9171,3367,1989,2190,4129,7767,10247,22856,68082,450,2027,2965,7522,7631,11660,17775,20857,7449,7330,3597,15407,7406,4441,11555,2539,4801,10602,29384,21785,48888,38352,10946,15443,10661,3084,1588,28996,43938,25320,56751,149355,30776,7767,73748,12538,8308,7631,115562,57008,2,10.127675,-6.775269
West Berkshire,E06000037,Total,7759,24042,22437,5858,2244,12398,12674,11932,10948,6241,2997,2827,4124,10689,6849,15567,51084,369,2286,3416,6620,3279,2780,14094,3799,4769,2420,1571,10065,5512,3505,9914,2095,4303,3235,7341,8506,33010,32957,9753,12949,7590,2065,1022,7759,24042,30539,38629,91567,23626,10689,37004,17189,9948,3279,82122,26653,3,8.312417,-0.7490031
Windsor and Maidenhead,E06000040,Total,7782,23443,20326,4864,1934,10708,9904,10960,12364,4804,4079,3318,1125,10898,5791,12727,46337,464,2280,3685,6474,3292,2391,13366,4598,5016,1834,1783,9365,5252,3332,8863,1848,3910,2585,7111,8841,31949,28735,8692,12424,8164,2243,1246,7782,23443,27124,35155,85328,24077,10898,31572,17168,8522,3292,74358,26597,3,8.01743,-0.6200958
Wokingham,E06000041,Total,5422,22202,24577,5873,2258,8973,13735,15652,11223,5906,2615,4475,1719,10842,6237,15282,51260,385,2052,3403,6241,2958,3331,14976,4441,4799,1742,1403,10031,5758,3793,9740,2048,4090,3349,7428,8071,33741,33116,9426,13052,7791,1896,1050,5422,22202,32708,38809,91782,23789,10842,38360,17129,8809,2958,81954,27361,3,8.330338,-0.5949152
Buckinghamshire,E10000002,Total,25261,75300,73419,18882,7865,34777,30904,32919,38191,22726,15312,14896,6356,35976,22919,48249,151064,1697,8549,13539,23290,10887,10606,48349,16339,17245,7360,6599,31832,18799,12140,32552,6726,13496,10946,25974,27607,103397,106421,31242,44690,28249,7287,3925,25261,75300,100166,126491,294641,84151,35976,98600,60917,36564,10887,256994,95892,3,8.225827,-0.53222245
East Sussex,E10000011,Total,50674,100340,60173,14750,5968,42686,36985,25589,32726,14911,7072,8288,12949,33195,24918,55152,125533,1707,8323,14214,26000,13503,10520,66736,14879,15665,15388,6898,27456,16415,10649,30390,6246,13285,11904,26479,25818,90763,107981,39522,58766,41131,12349,7517,50674,100340,80891,116345,290563,119763,33195,105260,47637,28309,13503,241449,119566,1,6.354216,0.21327433
Hampshire,E10000014,Total,80005,220861,182611,44568,17209,103727,102205,110217,101247,43246,18217,21457,30837,76931,57382,139162,403763,3331,17309,27288,51518,28508,28518,144936,34057,37867,24979,13739,77307,44818,28446,78870,16964,33756,29301,71399,71087,259061,275328,88079,126964,82172,22233,12003,80005,220861,244388,309462,764954,243372,76931,316149,144493,70511,28508,670889,255578,3,7.8295975,-0.8151415
Kent,E10000016,Total,121094,258442,169541,40616,15945,114309,99394,84633,92759,58827,31521,33558,31595,76873,64965,149177,399625,4048,21135,29898,59600,41541,32884,159127,50767,49761,37471,20363,89076,51228,32919,91396,18935,39259,37792,87679,83297,282886,290483,96484,137517,87948,23683,13158,121094,258442,226102,360605,840829,262306,76873,298336,151586,96674,41541,696367,317489,3,7.7815676,-0.9754761
Oxfordshire,E10000025,Total,45340,107358,79519,19148,7490,64499,49534,44943,49106,23868,10451,8833,15795,41725,25665,64450,205466,1742,9136,14641,24900,13103,16681,57079,38179,17972,10553,8336,41056,22181,13850,37335,7818,15721,18937,47593,46830,135280,125441,38014,54422,34637,9523,5160,45340,107358,106157,156898,393158,103742,41725,158976,72974,35079,13103,337016,132119,3,7.673716,-1.0930218
Surrey,E10000030,Total,59865,184249,155920,39607,16150,75408,79849,87390,87770,57517,29132,20648,9614,76453,50745,106283,344923,3600,18477,29551,50858,22772,25327,105585,40897,38200,16744,14055,71306,40532,25309,67566,13778,28145,25753,61519,62154,240551,231932,69379,97839,66584,19135,10908,59865,184249,211677,272389,665535,194466,76453,242647,145287,59394,22772,579019,215481,3,8.066224,-0.6218572
West Sussex,E10000032,Total,61657,150046,100934,23709,9268,70011,61000,51521,57083,23252,12084,20353,15872,48246,35267,85566,228254,2274,11374,19279,34372,18331,16669,91376,20056,23515,16915,9243,46486,26373,16806,45733,9557,19181,17229,41088,44020,156491,163008,54345,81862,58142,16931,9640,61657,150046,133911,181365,458952,166575,48246,182532,80335,48309,18331,397788,161105,3,7.4580693,-0.6412913
Bath and North East Somerset,E06000022,Total,16158,31073,19957,4511,1816,17252,15658,9527,16284,3816,708,1246,2787,10624,6956,18818,46367,526,2506,4158,7116,3548,6713,17896,13209,4289,3610,1794,9238,5192,3508,9568,2071,4125,7086,15995,10141,32400,34073,10802,15928,10981,3249,1659,16158,31073,26284,40788,103411,31817,10624,42437,20100,4741,3548,86204,40798,3,7.3959227,-1.0014007
"Bristol, City of",E06000023,Total,52814,82483,37858,7172,2420,45846,63042,35751,15836,2946,2111,2808,6856,17841,16958,42980,127829,909,4352,7308,14537,13817,15387,31534,28932,12556,13973,7392,29633,14371,8466,21703,4408,8922,13711,44371,40752,95160,70787,20078,27725,19235,5798,3114,52814,82483,47450,101214,271148,55872,17841,144639,18782,11775,13817,213302,94387,2,10.22702,-6.9175797
Cornwall,E06000052,Total,39937,102864,64904,16278,6406,46668,30531,31706,39596,14319,5470,4711,8621,38596,24309,59778,123195,1967,10229,14046,26771,12694,10804,73605,16726,15517,16980,6546,27366,15714,10359,29972,6530,12575,12695,28357,26373,93598,110882,42611,61767,37746,10218,5510,39937,102864,87588,115211,301821,115241,38596,108905,53915,18802,12694,246790,129374,1,6.587803,0.24215323
Isles of Scilly,E06000053,Total,492,355,108,27,7,565,73,20,0,0,0,4,109,428,112,220,653,17,124,82,210,18,7,209,13,26,14,29,105,65,40,114,22,7,27,111,135,427,472,172,271,165,37,33,492,355,142,380,1317,506,428,658,0,113,18,1313,291,1,6.5959024,0.48898467
North Somerset,E06000024,Total,15151,36867,27620,6248,2341,17364,12659,12469,19313,8229,2789,1191,3726,11734,8089,23117,55596,527,2957,4172,7770,4350,4118,25366,4591,5082,5607,2099,11653,6681,4343,11579,2396,4749,4181,9491,10363,38286,41557,14654,22071,14043,4175,2344,15151,36867,36209,45582,114351,42633,11734,42492,27542,7706,4350,98257,42745,1,7.138418,-0.36715707
Plymouth,E06000026,Total,30438,49904,23251,4425,1289,24950,34918,26035,4949,964,1210,2389,4280,7898,9873,28356,69234,529,2429,3245,6913,8136,8900,27019,16060,7482,10042,3441,15336,7956,4991,13645,2954,6011,8839,24343,18888,48662,47904,15140,21999,14098,3639,1979,30438,49904,28965,59732,154937,41715,7898,85903,5913,7879,8136,119606,64044,2,9.972344,-6.8518662
"Bournemouth, Christchurch and Poole",E06000029,Total,32578,64813,37194,8283,3036,30512,45896,29262,10953,1777,2733,3055,5919,16562,14226,34504,93189,940,4325,6596,12993,8675,10515,34015,15106,9225,9662,4220,18725,9549,5895,16323,3434,7074,9502,25310,23647,67925,61265,20018,29224,22180,7001,4064,32578,64813,48513,70502,198165,62469,16562,105670,12730,11707,8675,163062,72228,5,17.5197834,-7.76267354
South Gloucestershire,E06000025,Total,14044,45398,36103,8618,3375,21120,22334,34619,22076,3643,1730,2551,4599,12787,11072,31453,82489,584,3131,4158,9274,5354,6755,27390,7885,6244,4872,2879,15925,8967,5641,15858,3539,6958,7102,15458,15606,53974,53582,15748,24040,14835,3648,1886,14044,45398,48096,63990,154368,44409,12787,78073,25719,8880,5354,137844,49270,3,7.6899076,-1.4857029
Swindon,E06000030,Total,19060,39031,24098,4722,1449,20280,31812,18354,5507,3104,2333,4312,6722,8849,8226,22137,71912,329,2027,2891,6814,6518,4411,17868,4895,6301,5271,2706,14083,7551,4722,12433,2593,5141,4690,12859,15075,48338,41827,10990,15160,9899,2616,1179,19060,39031,30269,51213,129089,28854,8849,70446,8611,13367,6518,110521,37041,3,8.176051,-1.8654363
Torbay,E06000027,Total,15063,26678,13235,2926,1108,15388,10582,9766,3653,1889,1373,785,1417,6853,5206,14782,29537,421,1999,2683,5644,4275,2454,18416,3032,3624,5454,1679,6690,3851,2426,7092,1610,3120,2839,6779,6700,22055,26774,10169,15564,10219,3190,1881,15063,26678,17269,27628,72477,30854,6853,35736,5542,3575,4275,57520,32205,1,6.342826,0.18479814
Wiltshire,E06000054,Total,28660,80315,63879,15513,5827,46432,25593,31023,38325,16609,10406,7302,12013,32701,18812,50806,143218,1269,6965,10635,19233,9999,8667,49893,11119,13554,9102,5135,28373,16588,10611,29276,6120,12432,10645,24720,25471,91597,98414,31246,45070,28456,7725,4237,28660,80315,85219,114045,271448,85488,32701,103048,54934,29721,9999,240793,88803,3,7.9253144,-0.7337904
Devon,E10000008,Total,56105,142566,92169,22652,9152,71814,48454,42025,56776,20966,7420,6542,11437,56771,31708,84667,181896,2738,14146,20126,37542,15256,15476,98590,25369,18374,18222,8817,37479,22022,14310,40518,8845,17586,18977,42929,36415,126570,154693,57629,86420,56246,16645,9115,56105,142566,123973,159737,418236,168426,56771,162293,77742,25399,15256,356591,169372,1,6.586219,0.10566953
Dorset,E10000009,Total,28021,78377,54354,14024,5437,35084,23729,28769,29388,10486,6476,4090,7195,28022,17664,46265,101952,1402,6747,10334,18249,7986,7008,59463,9336,10556,9080,5063,19333,11864,7979,23023,5110,10393,8619,19450,17091,66924,85770,33204,51990,36092,10435,5628,28021,78377,73815,86321,222439,104145,28022,87582,39874,17761,7986,191957,93498,1,6.3206387,0.19774155
Gloucestershire,E10000013,Total,43480,106491,78426,18960,7258,55452,51602,41982,43590,18074,8123,8172,11481,37306,24258,65427,174614,1685,8976,13602,24596,14232,13501,64968,19114,16240,13326,6807,33438,19059,12481,34479,7294,15474,14363,34958,33994,116039,124311,39739,58210,36976,10671,5498,43480,106491,104644,136588,349041,111355,37306,149036,61664,27776,14232,302401,120455,3,7.5080447,-0.76274174
Somerset,E10000027,Total,36092,98217,68317,17352,7011,56322,34847,29170,39776,15481,8140,5846,8546,36817,21810,60626,141278,1561,8545,12705,23971,11350,9732,64972,13422,13935,13317,5771,28717,16708,10779,31309,7077,14368,11863,28035,26508,92738,110903,39307,57463,37588,10853,5756,36092,98217,92680,120821,297491,111660,36817,120339,55257,22532,11350,258418,111417,1,6.753118,0.27920672
Isle of Anglesey,W06000001,Total,5517,13066,8737,2300,974,4680,3453,4025,5259,3028,1196,515,1552,4026,2697,6949,17274,247,1134,1157,2662,2381,1219,10150,2266,1891,2592,896,3878,2082,1382,3746,773,1680,1398,3863,3603,12050,14189,5461,8574,5046,1249,777,5517,13066,12011,14939,39166,15646,4026,12158,8287,3263,2381,30642,17795,1,6.5997376,-0.102534615
Gwynedd,W06000002,Total,11230,22788,13628,3417,1410,10020,5041,7791,6836,3659,2125,2075,2970,8546,4898,12300,27834,373,2464,2326,5766,3176,3756,14561,7814,3062,3867,1614,6819,3748,2430,6610,1344,2784,4220,9719,6472,20714,23341,8533,13130,8565,2278,1167,11230,22788,18455,27955,68779,25140,8546,22852,10495,7170,3176,54819,30918,1,6.605689,-0.25650293
Conwy,W06000003,Total,11128,22621,13060,3162,1206,8887,7440,7418,6833,3388,1443,1571,2168,6743,4202,12398,26697,346,2077,1948,4773,3362,2191,16178,3453,2684,4363,1436,5839,3351,2155,6418,1363,2849,2390,5798,5404,19079,23576,8844,13966,9921,2729,1546,11128,22621,17428,24365,62701,28162,6743,23745,10221,5182,3362,50430,28114,1,6.2876306,0.10275027
Denbighshire,W06000004,Total,8515,17818,10622,2598,993,8053,4547,6222,5389,3923,2049,1211,1210,5136,3416,9696,23121,265,1587,1518,3601,2857,1764,12487,3239,2314,4088,1139,5323,2986,1975,5473,1196,2543,2270,5212,4525,16269,19113,7159,10585,6522,1656,927,8515,17818,14213,21766,52278,19690,5136,18822,9312,4470,2857,41552,23267,1,6.568199,-0.21220532
Flintshire,W06000005,Total,10834,26756,19766,4755,1670,9986,10683,14543,15888,4903,1885,1677,2793,6577,5114,16875,45785,372,1844,2052,4611,4332,3086,18839,4240,3858,4829,1602,9349,5098,3275,8997,1925,4073,3499,8970,8547,29576,31332,11029,15299,8384,2060,1093,10834,26756,26191,36216,89454,26836,6577,35212,20791,6355,4332,74625,33368,3,7.6046295,-1.6945378
Wrexham,W06000006,Total,12647,23903,15775,3545,1159,9797,13113,12690,9986,3320,1653,1575,2009,5324,4147,14567,39011,316,1740,1692,3797,4128,3162,14983,4409,3799,5269,1818,8829,4785,2832,7736,1636,3219,3188,8439,8825,26996,26650,8858,12516,7458,1858,1019,12647,23903,20479,32225,79768,22851,5324,35600,13306,5237,4128,64285,30278,3,7.986604,-2.0927808
Powys,W06000023,Total,8757,24996,17590,4875,2127,11815,4573,5641,8237,4766,2387,2573,3908,13621,6132,13955,31210,482,3109,3399,9715,2928,2048,17283,3539,3036,3926,1439,6582,3959,2681,7947,1724,3463,2780,6465,5877,21818,28570,10864,16232,9926,2685,1403,8757,24996,24592,29136,73594,30246,13621,22029,13003,8868,2928,63918,29223,1,6.6182303,0.3830162
Ceredigion,W06000008,Total,5803,13627,8677,2449,1006,6248,2886,4015,3675,2065,1084,982,1760,6780,2951,6612,15161,218,1587,1776,4677,1469,3564,9550,7835,1610,2521,825,3472,2015,1331,3642,770,1607,4255,8191,3614,11283,14463,5574,8418,5151,1406,730,5803,13627,12132,17092,43125,15705,6780,13149,5740,3826,1469,33595,22341,1,6.5593853,-0.04857178
Pembrokeshire,W06000009,Total,9496,23392,14702,3936,1596,10465,5680,7191,8462,3143,1173,954,2414,9395,5340,13507,27231,449,2675,2652,6087,3555,1964,16505,3311,3766,4693,1654,6784,3889,2469,7383,1552,3131,2798,6710,5860,20195,25450,9525,14380,8847,2289,1177,9496,23392,20234,28006,67740,26693,9395,23336,11605,4541,3555,54565,29929,1,6.4312887,0.08340104
Carmarthenshire,W06000010,Total,14826,34265,21756,5800,2182,13248,8744,7827,15982,7899,2602,2518,3460,11630,6770,18475,44839,498,2952,2955,8237,4962,3299,24097,5992,5007,9055,2562,10310,5835,3862,10642,2365,4628,4352,10598,9531,31792,38338,13348,20343,12651,3449,1733,14826,34265,29738,41994,103607,38176,11630,29819,23881,8580,4962,81255,46713,1,6.539098,-0.18005382
Swansea,W06000011,Total,26660,44849,24572,5530,1886,18349,24588,23416,10795,2137,2001,2459,3671,8228,7149,25141,59606,558,2708,2858,5542,6831,8216,27684,15342,6565,12146,3774,13110,7491,4948,13214,2633,5412,8004,20520,15559,45031,45313,14976,22156,14901,3815,1940,26660,44849,31988,54812,141399,42812,8228,66353,12932,8131,6831,104629,65511,2,9.788301,-6.73074
Neath Port Talbot,W06000012,Total,15407,26143,14513,3395,935,9029,8642,12017,12410,4041,1188,1866,1481,4081,4225,14335,36977,268,1257,1368,3015,4630,2260,17837,4397,4446,9839,2357,7599,4500,2816,8020,1702,3599,3219,8112,8702,26610,29399,9483,13862,8737,2295,1157,15407,26143,18843,31455,82306,26051,4081,29688,16451,4535,4630,59480,38876,0,8.982943,-3.2367423
Bridgend,W06000013,Total,12819,25715,15534,3382,1065,10494,9386,9892,10289,6234,3203,752,1695,4813,4501,14633,38066,272,1495,1556,3411,4687,2329,17204,4228,3986,7899,3039,7727,4620,2959,8369,1613,3558,3226,8234,8439,27924,28520,9135,13769,8045,2054,986,12819,25715,19981,32072,82252,24854,4813,29772,16523,5650,4687,61762,36356,0,9.030283,-2.947709
Vale of Glamorgan,W06000014,Total,10368,22989,15394,3577,1177,9632,8577,12314,11004,3644,896,840,1805,5886,4380,13657,34955,375,2039,2101,4016,3956,2285,14912,4235,3362,4414,1509,7333,4229,2689,7902,1679,3481,2992,6825,6969,24138,26557,8487,12367,7535,2134,1019,10368,22989,20148,30305,72976,23055,5886,30523,14648,3541,3956,59428,28432,3,7.721143,-1.9415121
Cardiff,W06000015,Total,41400,61089,31819,6232,2017,32193,43788,32864,12795,5100,2130,2861,4445,11998,11440,32468,97170,750,3901,4622,9044,11566,15232,27061,28383,10403,13477,6191,22378,11163,6917,18538,3979,7836,14055,38735,30515,69946,59978,16498,22705,15949,4703,2195,41400,61089,40068,84866,215672,45552,11998,108845,17895,9436,11566,163187,85515,2,9.89998,-6.6517806
Rhondda Cynon Taff,W06000016,Total,26978,42454,23323,5315,1593,13137,13251,17306,23861,9762,2945,922,2520,6778,8845,23068,61225,402,2423,2181,6027,8104,5300,27595,9914,7007,14854,3947,14449,8134,5006,13885,2820,5837,6225,16178,14818,45638,45894,15453,22004,13010,3383,1676,26978,42454,30231,56356,137981,40073,6778,43694,33623,6387,8104,100626,63317,0,8.896473,-3.0738819
Merthyr Tydfil,W06000024,Total,7213,10486,5091,1116,358,5719,5258,2784,3098,2235,1425,265,669,1680,1966,5913,15882,111,592,501,1286,2481,1067,6690,2078,1678,4107,991,3630,1881,1238,3476,735,1616,1473,3959,4170,11107,11941,3780,5331,3281,775,409,7213,10486,6565,14049,34957,9796,1680,13761,5333,2359,2481,25352,15544,0,9.078223,-3.009898
Caerphilly,W06000018,Total,18137,32153,18644,4210,1335,11632,11267,14582,20375,4888,989,1000,1770,5347,5638,17292,50160,342,1842,1657,4061,6731,2847,21032,5869,5645,10731,2741,11313,6289,4141,10991,2247,4710,4361,10820,11222,35653,35679,11815,16690,9467,2332,1076,18137,32153,24189,44052,105189,29565,5347,37481,25263,3759,6731,78201,46018,0,8.779721,-3.1500869
Blaenau Gwent,W06000019,Total,8811,13315,6342,1484,464,4964,5510,4205,5391,2123,878,673,873,1660,2014,6763,18147,132,586,522,1366,3557,1072,8709,2245,2312,4995,1403,4016,2223,1334,4053,867,1946,1832,4636,4284,13569,13958,4619,6965,4015,993,504,8811,13315,8290,16271,41066,12477,1660,14679,7514,2424,3557,28588,19664,0,9.143684,-3.093235
Torfaen,W06000020,Total,9090,16740,9583,2320,791,7471,7888,7864,6436,2762,774,536,1043,2582,2905,9535,25574,177,854,793,2032,3163,1692,11115,2662,2897,4410,1203,5381,3105,1928,5620,1208,2630,2240,5588,5574,16709,18682,6040,8644,5568,1419,739,9090,16740,12694,22112,52593,16370,2582,23223,9198,2353,3163,40657,22287,0,8.893556,-3.384177
Monmouthshire,W06000021,Total,5807,15376,12431,3324,1295,7083,2779,4721,7350,4903,2748,1307,1830,6619,3477,9352,24246,293,1648,2001,4014,2217,1501,11640,2838,2426,2646,1285,4637,2852,1919,5684,1151,2628,1950,4311,3812,15978,20461,6897,10070,6396,1683,894,5807,15376,17050,20821,51459,19043,6619,14583,12253,5885,2217,43055,20835,1,7.0542226,0.12792632
Newport,W06000022,Total,17076,25325,14510,3193,1068,11067,16790,10854,8978,3383,1436,712,2276,4728,4184,15531,39177,318,1593,1615,3368,5616,3793,15389,5591,4642,6039,2469,9543,5194,3363,9402,1886,3881,4114,10041,9406,28819,27829,8507,12544,8059,2115,1033,17076,25325,18771,37383,84602,23751,4728,38711,12361,4424,5616,65395,34130,0,9.210245,-4.698325
